,Stn ID,Stn Name,Elev,Lat,Long,Mdl,Tmp,RH,Wind,PPT,ERC,BI,SC,KBDI,HUN,THOU,TEN,STL,ADJ,IC,State,Elev_standard,Tmp_standard,RH_standard,Wind_standard,PPT_standard,BI_standard,Long_adj,Agglo_clusters,posterior_clusters
0,451119,OHANAPECOSH,1900,46.7,121.5,7G,82,39,0,0.0,49,31,3,721,12,12,8,4,M,12,Washington,-0.659463821393347,0.07692307692307665,-0.21999999999999997,-1.0,-1.0,-0.294406880516853,-121.5,0,C0
0,21005,COLUMBINE,9521,32.7,109.9,7G,73,32,2,0.0,26,24,3,8,17,19,8,2,L,16,Arizona,0.7071639917510983,-0.20000000000000018,-0.36,-0.8571428571428572,-1.0,-0.514584842607695,-109.9,0,C0
0,40244,ASH CREEK,3700,41.2,121.9,7G,88,19,5,0.0,58,52,8,746,11,11,5,3,M,39,California,-0.33668071370931585,0.2615384615384615,-0.62,-0.6428571428571429,-1.0,0.36612700575567303,-121.9,0,C0
0,351202,TUPPER,4000,45.0,119.4,7C,83,22,6,0.0,18,36,12,389,7,7,5,4,H,40,Oregon,-0.28288352909531067,0.10769230769230775,-0.56,-0.5714285714285714,-1.0,-0.13713690759482297,-119.4,0,C0
0,451507,SEDRO WOOLLEY,160,48.5,122.2,7G,73,68,3,0.0,30,25,3,502,16,16,13,3-,M,5,Washington,-0.9714874921545772,-0.20000000000000018,0.3600000000000001,-0.7857142857142857,-1.0,-0.483130848023289,-122.2,0,C0
0,43712,LUNDY,7032,38.0,119.1,7C,86,16,6,0.0,21,38,12,248,7,8,4,3,H,47,California,0.2608266834035686,0.20000000000000018,-0.6799999999999999,-0.5714285714285714,-1.0,-0.07422891842601098,-119.1,0,C0
0,245416,HARKNESS,8400,44.4,112.9,7G,68,27,6,0.0,74,58,9,183,8,8,6,5,V,28,Montana,0.5061418452434323,-0.3538461538461539,-0.45999999999999996,-0.5714285714285714,-1.0,0.554850973262109,-112.9,0,C0
0,443302,FAPH_EODTC,120,38.1,77.1,7C,82,63,4,0.08,2,3,0,182,19,22,13,1,L,2,Virginia,-0.9786604501031113,0.07692307692307665,0.26,-0.7142857142857143,-0.9541547277936963,-1.175118728880221,-77.1,1,C0
0,44901,BRANCH_MOUNTAIN,3773,35.1,120.0,7B,96,16,5,0.0,89,156,60,551,6,6,4,3,V,83,California,-0.3235900654532413,0.5076923076923077,-0.6799999999999999,-0.6428571428571429,-1.0,3.6373424425338965,-120.0,0,C1
0,311940,BOONE-WATAUGA HOSP,2987,36.2,-81.6,7G,70,85,0,0.01,21,16,2,557,17,20,14,,,3,North Carolina,-0.46453868914193486,-0.29230769230769216,0.7,-1.0,-0.994269340974212,-0.766216799282943,-81.6,1,C0
0,45203,LOS PRIETOS,982,34.5,119.7,7B,96,28,5,0.0,35,49,12,716,12,10,6,3,M,29,California,-0.824083206312203,0.5076923076923077,-0.43999999999999995,-0.6428571428571429,-1.0,0.271765022002455,-119.7,0,C0
0,260112,JUNIPER SPRINGS,5348,41.0,119.7,7T,87,8,8,0.0,23,68,39,433,4,4,2,3,H,60,Nevada,-0.04115484622971399,0.23076923076923084,-0.84,-0.4285714285714286,-1.0,0.869390919106169,-119.7,0,C0
0,89965,OKEECHOBEE,51,27.3,-80.8,7G,89,65,3,0.0,19,15,2,324,19,21,11,3,M,7,Florida,-0.9910338025643325,0.29230769230769216,0.30000000000000004,-0.7857142857142857,-1.0,-0.797670793867349,-80.8,1,C0
0,421405,MCCOOK,6700,39.6,109.2,7G,73,30,11,0.0,73,78,16,470,9,7,6,3,M,42,Utah,0.20129113243073604,-0.20000000000000018,-0.4,-0.2142857142857143,-1.0,1.183930864950229,-109.2,0,C0
0,53104,FRANKTOWN,6159,39.3,104.7,7G,71,45,11,0.13,41,55,13,188,14,14,9,3,M,23,Colorado,0.10427687617681336,-0.2615384615384615,-0.09999999999999998,-0.2142857142857143,-0.9255014326647565,0.460488989508891,-104.7,0,C0
0,460902,WVU RESEARCH FORES,2280,39.6,79.7,8E,73,79,2,0.03,3,4,0,90,22,24,15,1,L,1,West Virginia,-0.5913207208822738,-0.20000000000000018,0.5800000000000001,-0.8571428571428572,-0.9828080229226361,-1.1436647342958148,-79.7,1,C0
0,45222,SB BOTANIC GARDEN,753,34.4,119.7,7B,82,58,6,0.0,13,21,6,544,17,14,11,2,L,8,California,-0.8651483905675603,0.07692307692307665,0.15999999999999992,-0.5714285714285714,-1.0,-0.6089468263609129,-119.7,0,C0
0,400101,STILLY HOLLOW,580,36.5,87.9,8E,88,52,4,0.0,19,19,3,519,16,18,10,3,M,11,Tennessee,-0.89617143369497,0.2615384615384615,0.040000000000000036,-0.7142857142857143,-1.0,-0.6718548155297249,-87.9,1,C0
0,45450,LAKE PALMDALE,2980,34.5,118.1,7T,100,15,19,0.0,21,110,123,745,6,6,4,3,V,87,California,-0.46579395678292834,0.6307692307692307,-0.7,0.357142857142857,-1.0,2.1904586916512208,-118.1,0,C0
0,51404,DEADHORSE,8960,40.0,107.3,7G,59,50,3,0.0,57,38,4,371,11,9,10,3,M,9,Colorado,0.6065632565229087,-0.6307692307692307,0.0,-0.7857142857142857,-1.0,-0.07422891842601098,-107.3,0,C0
0,293004,COSMIC,9082,32.7,105.8,7G,75,24,6,0.0,39,47,10,75,14,17,6,2,M,38,New Mexico,0.6284407782659374,-0.1384615384615384,-0.52,-0.5714285714285714,-1.0,0.208857032833643,-105.8,0,C0
0,40801,COLBY MTN,6004,40.1,121.5,7G,81,17,8,0.0,87,77,13,699,6,6,4,4,V,53,California,0.07648166412624402,0.04615384615384599,-0.6599999999999999,-0.4285714285714286,-1.0,1.152476870365823,-121.5,0,C0
0,480501,ECHETA,4320,44.4,105.8,7G,62,73,10,0.44,36,42,9,89,17,13,15,3,M,5,Wyoming,-0.2254998655070385,-0.5384615384615385,0.45999999999999996,-0.2857142857142858,-0.7478510028653296,0.05158705991161302,-105.8,0,C0
0,44319,HASTINGS,1885,36.3,121.5,7B,90,16,11,0.0,93,180,79,546,6,6,3,4,E,86,California,-0.6621536806240473,0.3230769230769228,-0.6799999999999999,-0.2142857142857143,-1.0,4.39223831255964,-121.5,0,C1
0,472603,MEAD,1150,44.6,89.8,7Q,81,49,4,0.01,23,21,3,387,16,18,11,2,L,6,Wisconsin,-0.79395678292836,0.04615384615384599,-0.020000000000000018,-0.7142857142857143,-0.994269340974212,-0.6089468263609129,-89.8,2,C0
0,170131,ISLE AU HAUT,250,44.0,68.6,7H,77,1,5,0.01,41,23,2,469,4,13,2,5,V,46,Maine,-0.9553483367703757,-0.0769230769230771,-0.98,-0.6428571428571429,-0.994269340974212,-0.546038837192101,-68.6,1,C0
0,243906,COW CREEK,3285,46.0,106.1,7C,66,47,5,0.59,0,0,0,254,16,12,35,1,L,0,Montana,-0.41110015242535636,-0.4153846153846157,-0.05999999999999994,-0.6428571428571429,-0.66189111747851,-1.2694807126334389,-106.1,0,C0
0,41503,STONYFORD,1263,39.3,122.5,7B,93,20,3,0.0,62,85,23,697,6,6,4,3,M,43,California,-0.7736931767237515,0.41538461538461524,-0.6,-0.7857142857142857,-1.0,1.4041088270410709,-122.5,0,C1
0,417901,BIRD,1489,30.2,98.6,8G,96,33,5,0.0,44,40,6,654,13,17,7,3,M,29,Texas,-0.7331659643145342,0.5076923076923077,-0.33999999999999997,-0.6428571428571429,-1.0,-0.01132092925719898,-98.6,2,C0
0,100424,LINES CREEK,5140,47.1,116.2,7G,80,26,5,0.0,75,64,10,465,7,8,5,5,V,34,Idaho,-0.07845422756209086,0.01538461538461533,-0.48,-0.6428571428571429,-1.0,0.743574940768545,-116.2,0,C0
0,314602,LEXINGTON,804,35.7,80.3,7G,86,61,2,0.56,18,15,2,269,17,22,12,3,M,5,North Carolina,-0.8560028691831794,0.20000000000000018,0.21999999999999997,-0.8571428571428572,-0.6790830945558739,-0.797670793867349,-80.3,1,C0
0,244705,MAIN BOULDER,4025,45.3,110.2,7G,71,46,8,0.04,52,55,11,313,12,11,9,3,M,20,Montana,-0.27840043037747686,-0.2615384615384615,-0.07999999999999996,-0.4285714285714286,-0.9770773638968482,0.460488989508891,-110.2,0,C0
0,201004,MUNISING,771,46.4,-86.6,7E,80,43,2,0.0,19,19,3,283,15,15,9,4-,M,11,Michigan,-0.86192055949072,0.01538461538461533,-0.14,-0.8571428571428572,-1.0,-0.6718548155297249,-86.6,2,C0
0,20117,HURRICANE,5445,36.6,113.2,7H,94,13,9,0.0,45,33,4,540,8,7,3,3,H,66,Arizona,-0.023760423204518988,0.44615384615384635,-0.74,-0.3571428571428572,-1.0,-0.23149889134804097,-113.2,0,C0
0,225301,LAUDERDALE,221,32.3,88.4,8G,90,58,6,0.2,29,23,3,527,19,18,11,3+,M,6,Mississippi,-0.9605487312830628,0.3230769230769228,0.15999999999999992,-0.5714285714285714,-0.8853868194842407,-0.546038837192101,-88.4,1,C0
0,94301,BRENDER NF,280,33.0,83.7,8C,87,64,1,0.07,7,9,2,429,20,21,12,3,M,4,Georgia,-0.9499686183089752,0.23076923076923084,0.28,-0.9285714285714286,-0.9598853868194842,-0.9863947613737849,-83.7,1,C0
0,221602,TUPELO,270,34.3,88.7,8E,83,77,0,0.0,9,8,1,597,17,18,15,2,L,2,Mississippi,-0.9517618577961087,0.10769230769230775,0.54,-1.0,-1.0,-1.017848755958191,-88.7,1,C0
0,16302,SRS,170,31.0,-87.0,7G,74,95,0,0.0,22,9,1,772,17,16,22,3,M,0,Alabama,-0.9696942526674437,-0.16923076923076952,0.9000000000000001,-1.0,-1.0,-0.9863947613737849,-87.0,1,C0
0,50305,INDEPENDENCE,8993,40.8,106.4,7G,52,70,3,0.04,49,29,3,156,11,11,13,3,M,3,Colorado,0.6124809468304493,-0.8461538461538463,0.40000000000000013,-0.7857142857142857,-0.9770773638968482,-0.35731486968566495,-106.4,0,C0
0,291901,MELROSE RANGE,4350,34.3,103.8,7L,83,50,4,0.55,2,19,23,397,16,14,10,2-,L,12,New Mexico,-0.22012014704563798,0.10769230769230775,0.0,-0.7142857142857143,-0.6848137535816619,-0.6718548155297249,-103.8,0,C0
0,301901,SARA,375,43.0,73.6,7L,81,52,2,0.0,0,1,1,181,21,29,12,1,L,2,New York,-0.9329328431812068,0.04615384615384599,0.040000000000000036,-0.8571428571428572,-1.0,-1.238026718049033,-73.6,1,C0
0,352124,YELLOW PINE,4200,44.6,118.3,7G,86,20,6,0.0,81,73,13,345,7,7,4,4,H,46,Oregon,-0.24701873935264052,0.20000000000000018,-0.6,-0.5714285714285714,-1.0,1.026660892028199,-118.3,0,C0
0,41809,READER RANCH,1968,39.3,121.1,7B,98,16,4,0.0,94,117,31,762,6,6,3,4,V,66,California,-0.6472697928808393,0.569230769230769,-0.6799999999999999,-0.7142857142857143,-1.0,2.410636653742063,-121.1,0,C1
0,410501,TEXARKANA,200,33.3,94.0,8G,94,55,4,0.0,21,18,2,532,17,23,10,3,M,11,Texas,-0.9643145342060432,0.44615384615384635,0.10000000000000009,-0.7142857142857143,-1.0,-0.7033088101141309,-94.0,2,C0
0,470302,GLIDDEN,1550,46.1,90.5,7E,77,65,4,0.0,10,12,2,191,17,19,13,2,L,5,Wisconsin,-0.7222272034430198,-0.0769230769230771,0.30000000000000004,-0.7142857142857143,-1.0,-0.892032777620567,-90.5,2,C0
0,40511,YOLLA BOLLA,4481,40.3,123.0,7G,92,8,3,0.0,87,70,11,750,6,6,3,3,H,57,California,-0.196628709764189,0.3846153846153846,-0.84,-0.7857142857142857,-1.0,0.932298908274981,-123.0,0,C0
0,361291,QUARRY TRAIL,2740,40.1,-79.2,7R,73,67,4,0.0,4,2,0,21,21,25,13,1,L,3,Pennsylvania,-0.5088317044741325,-0.20000000000000018,0.3400000000000001,-0.7142857142857143,-1.0,-1.2065727234646269,-79.2,1,C0
0,452134,DRY CREEK,3661,47.7,120.5,7C,79,28,2,0.0,16,30,9,566,7,7,6,4,H,27,Washington,-0.3436743477091365,-0.01538461538461533,-0.43999999999999995,-0.8571428571428572,-1.0,-0.325860875101259,-120.5,0,C0
0,182002,BLACKWATER NWR,8,38.4,76.0,7G,84,64,7,0.0,22,23,4,371,17,20,11,2,L,9,Maryland,-0.9987447323590065,0.1384615384615384,0.28,-0.5,-1.0,-0.546038837192101,-76.0,1,C0
0,353522,BALD MTN,5480,43.5,118.4,7T,84,13,7,0.0,22,67,38,282,4,5,3,4,V,52,Oregon,-0.017484084999551674,0.1384615384615384,-0.74,-0.5,-1.0,0.8379369245217629,-118.4,0,C0
0,52001,BAILEY,8000,39.3,105.3,7G,61,50,6,0.04,47,41,6,136,12,12,10,3,M,10,Colorado,0.434412265758092,-0.5692307692307694,0.0,-0.5714285714285714,-0.9770773638968482,0.02013306532720702,-105.3,0,C0
0,53605,RAMPART RANGE,9207,38.9,104.9,7G,54,68,6,0.17,33,29,4,22,14,16,13,2,L,4,Colorado,0.6508562718551063,-0.7846153846153847,0.3600000000000001,-0.5714285714285714,-0.9025787965616046,-0.35731486968566495,-104.9,0,C0
0,202902,MIO,1050,44.6,84.1,8Q,81,52,6,0.0,16,15,2,226,18,19,11,1,L,4,Michigan,-0.8118891777996952,0.04615384615384599,0.040000000000000036,-0.5714285714285714,-1.0,-0.797670793867349,-84.1,2,C0
0,338403,ZALESKI,732,39.2,82.3,8R,85,54,2,0.01,18,15,2,268,18,21,11,3,M,17,Ohio,-0.8689141934905407,0.16923076923076907,0.08000000000000007,-0.8571428571428572,-0.994269340974212,-0.797670793867349,-82.3,1,C0
0,241595,FINNEY'S MEADOW,3178,47.0,114.1,7G,81,25,1,0.01,75,45,5,270,8,8,5,,,29,Montana,-0.43028781493768486,0.04615384615384599,-0.5,-0.9285714285714286,-0.994269340974212,0.14594904366483102,-114.1,0,C0
0,40404,BRUSH MTN,3941,40.9,123.6,7G,84,27,3,0.0,80,60,8,760,6,7,5,3,M,31,California,-0.29346364206939834,0.1384615384615384,-0.45999999999999996,-0.7857142857142857,-1.0,0.617758962430921,-123.6,0,C0
0,20284,GREENBASE,6923,35.2,112.0,7G,83,21,5,0.0,38,34,5,81,16,16,7,2,M,25,Arizona,0.24128037299381333,0.10769230769230775,-0.5800000000000001,-0.6428571428571429,-1.0,-0.20004489676363496,-112.0,0,C0
0,50508,REDSTONE,6082,40.5,105.2,7G,70,39,0,0.04,51,30,3,190,11,12,8,3,M,11,Colorado,0.09046893212588536,-0.29230769230769216,-0.21999999999999997,-1.0,-0.9770773638968482,-0.325860875101259,-105.2,0,C0
0,481801,MUDDY CREEK,6970,41.4,110.5,7G,74,25,4,0.0,78,49,6,461,8,7,5,3,M,25,Wyoming,0.2497085985833407,-0.16923076923076952,-0.5,-0.7142857142857143,-1.0,0.271765022002455,-110.5,0,C0
0,319604,CEDAR ISLAND,5,35.0,76.2,7G,87,66,6,0.0,18,25,6,222,16,23,12,2,L,10,North Carolina,-0.9992827042051465,0.23076923076923084,0.32000000000000006,-0.5714285714285714,-1.0,-0.483130848023289,-76.2,1,C0
0,481302,HOBACK,6726,43.2,110.4,7G,77,22,5,0.03,53,51,9,332,12,12,5,3+,M,39,Wyoming,0.2059535550972833,-0.0769230769230771,-0.56,-0.6428571428571429,-0.9828080229226361,0.334673011171267,-110.4,0,C0
0,213501,BIG STONE NWR,878,45.2,96.3,7L,70,93,6,0.13,0,0,0,160,17,18,21,1,L,0,Minnesota,-0.8427328969783915,-0.29230769230769216,0.8600000000000001,-0.5714285714285714,-0.9255014326647565,-1.2694807126334389,-96.3,2,C0
0,412601,PALESTINE,380,31.7,95.5,8G,95,44,3,0.0,28,21,2,572,14,20,9,2,L,12,Texas,-0.93203622343764,0.476923076923077,-0.12,-0.7857142857142857,-1.0,-0.6089468263609129,-95.5,2,C0
0,45617,BEAUMONT,2588,33.9,117.0,7K,95,27,5,0.0,65,46,6,670,12,9,6,3,M,32,California,-0.5360889446785618,0.476923076923077,-0.45999999999999996,-0.6428571428571429,-1.0,0.177403038249237,-117.0,0,C0
0,243902,BADGER PEAK,4340,45.6,106.5,7C,63,63,6,0.54,0,0,0,190,17,13,35,1,L,0,Montana,-0.22191338653277148,-0.5076923076923077,0.26,-0.5714285714285714,-0.6905444126074498,-1.2694807126334389,-106.5,0,C0
0,352621,TUMALO RIDGE,4000,44.0,121.4,7G,85,16,8,0.0,83,77,14,568,6,7,4,,,57,Oregon,-0.28288352909531067,0.16923076923076907,-0.6799999999999999,-0.4285714285714286,-1.0,1.152476870365823,-121.4,0,C0
0,45225,TEPUSQUET,3200,34.9,120.1,7B,90,18,9,0.0,83,172,80,536,6,6,4,4,V,76,California,-0.4263426880659912,0.3230769230769228,-0.64,-0.3571428571428572,-1.0,4.140606355884393,-120.1,0,C1
0,392506,NEMO,4600,44.1,103.5,7G,58,64,7,1.27,19,23,4,10,19,20,13,2,L,5,South Dakota,-0.17528915986730031,-0.6615384615384616,0.28,-0.5,-0.2722063037249284,-0.546038837192101,-103.5,0,C0
0,453413,TACOMA CREEK,3240,48.4,117.4,7C,72,39,0,0.0,11,16,3,602,10,10,8,3-,M,11,Washington,-0.4191697301174572,-0.23076923076923084,-0.21999999999999997,-1.0,-1.0,-0.766216799282943,-117.4,0,C0
0,321703,WATFORD,2165,47.7,103.2,7L,70,28,13,0.0,3,45,109,241,8,11,6,4,H,41,North Dakota,-0.6119429749843092,-0.29230769230769216,-0.43999999999999995,-0.07142857142857151,-1.0,0.14594904366483102,-103.2,0,C0
0,382603,CONGAREE,122,33.8,80.7,8P,89,65,1,0.02,15,13,2,227,18,21,13,2,L,5,South Carolina,-0.9783018022056845,0.29230769230769216,0.30000000000000004,-0.9285714285714286,-0.9885386819484241,-0.860578783036161,-80.7,1,C0
0,101013,FENN,1560,46.1,115.5,7G,97,15,4,0.0,56,53,9,675,11,12,5,4,V,46,Idaho,-0.7204339639558863,0.5384615384615383,-0.7,-0.7142857142857143,-1.0,0.397581000340079,-115.5,0,C0
0,242915,SAWMILL CREEK,6500,46.4,113.8,7G,81,25,5,0.0,81,68,11,261,7,7,5,5,V,40,Montana,0.165426342688066,0.04615384615384599,-0.5,-0.6428571428571429,-1.0,0.869390919106169,-113.8,0,C0
0,41201,BANGOR,803,39.3,121.3,7F,94,22,4,0.0,36,61,19,753,7,7,5,3,H,64,California,-0.8561821931318927,0.44615384615384635,-0.56,-0.7142857142857143,-1.0,0.649212957015327,-121.3,0,C0
0,44109,WAWONA RAWS,4231,37.5,119.6,7B,90,18,5,0.0,70,97,27,732,8,9,4,4,V,56,California,-0.24145969694252667,0.3230769230769228,-0.64,-0.6428571428571429,-1.0,1.781556762053943,-119.6,0,C1
0,481306,SNIDER BASIN,8038,42.4,110.5,7G,70,29,13,0.0,57,71,17,157,11,11,7,4,H,34,Wyoming,0.44122657580919933,-0.29230769230769216,-0.42000000000000004,-0.07142857142857151,-1.0,0.963752902859387,-110.5,0,C0
0,417103,THE BOWL,7700,31.9,104.8,7G,72,58,7,0.19,33,28,4,133,13,17,10,2+,L,9,Texas,0.3806150811440867,-0.23076923076923084,0.15999999999999992,-0.5,-0.8911174785100286,-0.38876886427007096,-104.8,0,C0
0,420916,DUGWAY SOUTH,4385,40.1,112.8,7G,91,10,6,0.0,92,70,10,682,6,5,3,3,H,55,Utah,-0.21384380884067067,0.3538461538461539,-0.8,-0.5714285714285714,-1.0,0.932298908274981,-112.8,0,C0
0,43011,MALLORY RIDGE,2040,37.8,121.7,7C,91,11,0,0.0,24,29,6,590,5,6,3,3,M,41,California,-0.634358468573478,0.3538461538461539,-0.78,-1.0,-1.0,-0.35731486968566495,-121.7,0,C0
0,241206,PLAINS,2545,47.4,114.8,7C,89,21,4,0.0,16,39,16,522,8,8,5,3,H,50,Montana,-0.543799874473236,0.29230769230769216,-0.5800000000000001,-0.7142857142857143,-1.0,-0.04277492384160498,-114.8,0,C0
0,444002,CRAIG VALLEY,1266,37.5,80.0,8E,74,86,0,0.12,7,10,2,114,20,22,19,1,L,1,Virginia,-0.7731552048776114,-0.16923076923076952,0.72,-1.0,-0.9312320916905444,-0.9549407667893789,-80.0,1,C0
0,20312,HOPI,5584,35.8,110.6,7L,92,10,12,0.0,7,76,162,670,7,7,3,5,E,90,Arizona,0.0011656056666367043,0.3846153846153846,-0.8,-0.1428571428571429,-1.0,1.121022875781417,-110.6,0,C0
0,43009,LAS TRAMPAS,1760,37.8,122.0,7F,90,23,11,0.0,34,84,41,577,7,8,5,5,E,68,California,-0.6845691742132162,0.3230769230769228,-0.54,-0.2142857142857143,-1.0,1.372654832456665,-122.0,0,C0
0,353511,RIDDLE MTN,6281,43.1,118.4,7T,81,14,12,0.0,22,88,72,418,5,5,3,5,E,68,Oregon,0.1261543979198423,0.04615384615384599,-0.72,-0.1428571428571429,-1.0,1.498470810794289,-118.4,0,C0
0,89938,UNION,127,30.0,-82.3,7G,88,69,5,0.0,15,15,2,210,19,23,12,2,L,8,Florida,-0.9774051824621178,0.2615384615384615,0.3800000000000001,-0.6428571428571429,-1.0,-0.797670793867349,-82.3,1,C0
0,42704,CFA RAWS,660,38.3,120.9,7A,95,18,6,0.0,3,34,65,629,6,7,4,3,M,37,California,-0.8818255177979019,0.476923076923077,-0.64,-0.5714285714285714,-1.0,-0.20004489676363496,-120.9,0,C0
0,280101,BLUE MOUNTAIN LAKE,1375,41.0,74.9,8R,69,1,1,0.28,11,4,0,15,8,25,2,1,L,12,New Jersey,-0.7536088944678562,-0.32307692307692326,-0.98,-0.9285714285714286,-0.839541547277937,-1.1436647342958148,-74.9,1,C0
0,420901,CEDAR MOUNTAIN,4820,40.3,112.7,7G,89,11,7,0.0,92,74,12,646,6,5,3,3,H,56,Utah,-0.13583789115036315,0.29230769230769216,-0.78,-0.5,-1.0,1.0581148866126049,-112.7,0,C0
0,21010,NOON CREEK,5000,32.6,109.7,7G,94,19,9,0.0,63,72,16,345,9,11,5,3,H,55,Arizona,-0.10355958038196,0.44615384615384635,-0.62,-0.3571428571428572,-1.0,0.995206897443793,-109.7,0,C0
0,471703,DIAMOND LAKE,1317,45.1,90.6,7Q,83,49,3,0.0,24,18,2,372,16,18,10,1,L,6,Wisconsin,-0.7640096834932305,0.10769230769230775,-0.020000000000000018,-0.7857142857142857,-1.0,-0.7033088101141309,-90.6,2,C0
0,312240,SMITH REYNOLDS AP,969,36.1,-80.2,7G,85,59,3,0.66,25,24,4,181,17,20,10,3,M,11,North Carolina,-0.8264144176454765,0.16923076923076907,0.17999999999999994,-0.7857142857142857,-0.6217765042979942,-0.514584842607695,-80.2,1,C0
0,351502,HARL BUTTE,6071,45.3,116.8,7C,78,22,9,0.0,18,47,21,200,8,7,5,4,V,52,Oregon,0.08849636869003863,-0.04615384615384599,-0.56,-0.3571428571428572,-1.0,0.208857032833643,-116.8,0,C0
0,317001,TROY,540,35.3,79.8,7G,83,75,0,2.5,5,0,0,54,19,21,35,1,L,0,North Carolina,-0.903344391643504,0.10769230769230775,0.5,-1.0,0.4326647564469912,-1.2694807126334389,-79.8,1,C0
0,328501,TATANKA PRAIRIE,2370,46.1,100.9,7L,61,62,13,1.44,1,16,40,7,12,12,12,2,L,7,North Dakota,-0.5751815654980723,-0.5692307692307694,0.24,-0.07142857142857151,-0.17478510028653305,-0.766216799282943,-100.9,0,C0
0,53807,NUCLA,5820,38.2,108.5,7G,86,14,9,0.0,90,85,16,705,6,6,4,3,H,59,Colorado,0.04348605756298762,0.20000000000000018,-0.72,-0.3571428571428572,-1.0,1.4041088270410709,-108.5,0,C0
0,20215,MORMON LAKE,7400,34.9,111.4,7G,81,21,3,0.33,38,30,4,177,18,16,7,2,M,24,Arizona,0.32681789653008164,0.04615384615384599,-0.5800000000000001,-0.7857142857142857,-0.8108882521489971,-0.325860875101259,-111.4,0,C0
0,89929,LAFAYETTE,38,29.9,-83.1,7G,79,91,3,0.41,11,11,1,154,20,23,15,2,L,2,Florida,-0.993365013897606,-0.01538461538461533,0.8200000000000001,-0.7857142857142857,-0.7650429799426934,-0.923486772204973,-83.1,1,C0
0,32801,POINSETT,335,35.5,90.7,7G,88,63,0,0.0,21,13,1,379,19,20,12,,,5,Arkansas,-0.9401058011297408,0.2615384615384615,0.26,-1.0,-1.0,-0.860578783036161,-90.7,2,C0
0,40911,SMITH PEAK,7688,39.8,120.5,7G,76,1,12,0.0,97,105,23,187,3,5,3,3,V,83,California,0.37846319375952664,-0.10769230769230775,-0.98,-0.1428571428571429,-1.0,2.033188718729191,-120.5,0,C0
0,41302,DOG VALLEY,5880,39.5,120.0,7G,90,14,4,0.0,74,52,7,508,8,8,4,3,M,42,California,0.05424549448578864,0.3230769230769228,-0.72,-0.7142857142857143,-1.0,0.36612700575567303,-120.0,0,C0
0,410401,CLARKSVILLE,480,33.0,95.0,8G,95,46,13,0.0,31,41,10,611,14,20,8,3,M,31,Texas,-0.914103828566305,0.476923076923077,-0.07999999999999996,-0.07142857142857151,-1.0,0.02013306532720702,-95.0,2,C0
