Elev,  Lat,  Long, Mdl,  Tmp,  RH , Wind,   PPT ,  ERC,   BI,   SC, KBDI,   HUN,  THOU,   TEN,  STL, ADJ,  I   
2414, 33.8, 111.3, 7G ,  107,   14,    6,    .00,   94,   69,   10,  732,     5,     5,     3,   3 ,  H , 53   
2830, 33.3, 110.4, 7G ,  107,   13,    4,    .00,   92,   59,    7,  709,     6,     5,     3,   3 ,  H , 45   
5732, 33.6, 110.4, 7G ,   94,   17,    6,    .00,   60,   51,    8,  462,    12,    11,     5,   3 ,  M , 41   
6200, 34.1, 110.7, 7G ,   92,   19,    4,    .15,   62,   45,    6,  545,    11,    10,     5,   3 ,  M , 36   
5543, 34.4, 111.2, 7G ,   98,   17,    2,    .00,   79,   43,    4,  513,     6,     8,     4,   3 ,  M , 30   
5387, 34.3, 111.4, 7G ,   98,   15,    9,    .00,   78,   73,   13,  529,     7,     8,     4,   3 ,  H , 57   
4097, 32.9, 110.4, 7G ,  102,   14,    6,    .00,   88,   71,   11,  586,     5,     6,     3,   3 ,  H , 54   
1414, 32.9, 111.5, 7G ,  112,   16,    3,    .00,   95,   54,    6,  779,     5,     5,     3,   3 ,  M , 39   
9521, 32.7, 109.9, 7G ,   74,   25,    2,    .00,   58,   47,    7,  255,     9,    12,     6,   3 ,  M , 25   
4560, 32.4, 110.2, 7G ,   99,   12,    6,    .00,   86,   80,   15,  579,     5,     7,     3,   3 ,  H , 68   
3352, 33.0, 109.9, 7G ,  102,   16,    8,    .00,   90,   76,   13,  747,     6,     5,     4,   3 ,  H , 55   
7405, 33.3, 109.8, 7G ,   89,   20,    5,    .09,   70,   52,    7,  362,     8,     9,     5,   3 ,  M , 35   
4925, 32.6, 109.7, 7G ,   98,   16,    7,    .00,   87,   83,   16,  509,     5,     7,     3,   3 ,  H , 65   
6340, 32.8, 109.3, 7G ,   92,   17,    6,    .00,   84,   68,   10,  468,     5,     7,     3,   3 ,  H , 50   
6250, 33.2, 109.3, 7U ,   93,   16,    4,    .02,   47,   43,    7,  468,     8,     8,     3,   3 ,  H , 61   
7945, 33.5, 109.3, 7C ,   83,   22,    2,    .00,   19,   26,    6,  243,     6,     9,     5,   3 ,  M , 28   
2264, 32.3, 110.8, 7G ,  107,   13,    9,    .00,   92,   83,   15,  727,     4,     6,     3,   3 ,  H , 66   
4650, 31.7, 110.6, 7G ,   98,   15,    5,    .00,   67,   55,    8,  444,     8,    10,     4,   3 ,  M , 45   
3500, 31.6, 111.4, 7G ,  102,   17,    9,    .00,   62,   63,   12,  543,    12,    10,     5,   3 ,  H , 53   
8209, 32.2, 110.5, 7G ,   80,   22,    6,    .00,   66,   57,    9,  228,     8,    10,     5,   3 ,  M , 35   
7554, 32.3, 110.7, 7G ,   82,   19,    8,    .00,   75,   71,   13,  525,     7,     9,     4,   3 ,  H , 51   
2262, 31.9, 111.8, 7G ,  106,   17,    6,    .00,   82,   62,    9,  738,     7,     7,     4,   3 ,  H , 47   
7120, 31.6, 110.8, 7G ,   90,   18,   10,    .00,   70,   75,   16,  197,     7,    10,     4,   3 ,  H , 55   
4629, 31.5, 110.5, 7G ,   95,   16,   14,    .00,   66,   85,   22,  406,     8,    11,     4,   3 ,  H , 70   
5400, 32.0, 109.3, 7G ,   93,   16,    8,    .00,   78,   72,   13,  463,     5,     8,     4,   3 ,  H , 53   
5400, 31.4, 110.2, 7G ,   95,   14,    6,    .00,   71,   69,   13,  330,     7,    10,     4,   3 ,  H , 56   
5700, 31.7, 109.3, 7G ,   94,   15,    7,    .00,   68,   64,   11,  461,     7,    11,     3,   3 ,  H , 55   
1715, 33.0, 113.1, 7A ,  106,   22,   10,    .00,    3,   44,  124,  746,     5,     5,     4,   3 ,  H , 49   
 363, 34.1, 114.3, 7B ,  112,   18,    7,    .00,   98,  145,   47,  755,     6,     5,     4,   3 ,  H , 78   
1397, 33.5, 111.6, 7G ,  113,   12,    5,    .00,   95,   72,   10,  753,     5,     5,     3,   3 ,  H , 59   
1286, 36.1,  94.3, 7G ,   83,   42,    6,    .00,   31,   30,    5,  481,    14,    18,     9,   3 ,  M , 16   
2365, 36.0,  93.3, 7R ,   74,   62,    2,    .00,    5,    3,    0,  330,    13,    19,    11,   1 ,  L ,  3   
 930, 35.9,  92.7, 7C ,   85,   46,    3,    .00,    3,    4,    1,  474,    16,    20,    10,   1 ,  L ,  4   
1200, 35.9,  92.1, 7R ,   83,   39,    6,    .00,   10,    9,    1,  592,    13,    17,     8,   2 ,  L , 19   
 540, 36.1,  91.5, 8G ,   87,   36,    4,    .00,   38,   33,    5,  587,    15,    18,     8,     ,    , 20   
2100, 35.6,  93.5, 7G ,   77,   53,    8,    .00,   26,   29,    5,  203,    13,    20,    10,   3 ,  M , 12   
1560, 35.5,  92.8, 7R ,   79,   50,    4,    .00,    6,    3,    0,  356,    14,    20,    10,   2 ,  L ,  6   
 389, 35.5,  90.7, 8G ,   84,   48,   12,    .00,   43,   63,   17,  641,    14,    16,     9,     ,    , 26   
 343, 35.1,  93.8, 7G ,   86,   45,    2,    .00,   31,   23,    3,  713,    16,    17,    10,   3 ,  M , 10   
 610, 35.3,  92.2, 8G ,   86,   41,    4,    .00,   44,   34,    5,  595,    12,    17,     8,     ,    , 17   
 253, 34.7,  90.7, 7G ,   83,   54,    6,    .00,   34,   30,    4,  691,    14,    16,    10,   3 ,  M , 11   
 896, 34.6,  93.8, 7G ,   82,   53,    2,    .00,   23,   18,    2,  201,    16,    21,    10,   3 ,  M ,  8   
 675, 34.6,  93.2, 7G ,   84,   45,    2,    .00,   25,   19,    2,  192,    16,    19,    10,   3 ,  M ,  9   
 234, 34.3,  92.3, 8G ,   85,   46,    6,    .00,   30,   31,    5,  474,    16,    19,     9,     ,    , 12   
 360, 33.6,  93.1, 8G ,   88,   44,    3,    .00,   33,   27,    4,  213,    15,    18,     9,     ,    , 14   
 183, 33.5,  91.8, 7G ,   85,   49,   10,    .00,   32,   35,    7,  556,    15,    17,    10,   4 ,  M , 16   
 105, 33.1,  92.1, 7G ,   92,   37,    4,    .00,   30,   23,    3,  685,    16,    18,     8,   4 ,  M , 15   
3698, 41.8, 123.8, 7G ,   77,   37,    5,    .00,   69,   59,   10,  713,     6,    10,     6,   4 ,  H , 28   
 452, 41.8, 123.9, 7G ,   81,   43,    2,    .00,   45,   40,    6,  792,    14,    14,     8,   3 ,  M , 20   
5151, 41.7, 123.7, 7G ,   70,   38,    9,    .00,   73,   73,   14,  673,     6,     8,     6,   4 ,  H , 32   
3970, 41.9, 123.6, 7G ,   82,   21,    5,    .00,   71,   65,   11,  646,     7,    10,     4,   5 ,  V , 45   
5859, 41.2, 123.1, 7G ,   75,   19,    4,    .00,   80,   81,   16,  419,     6,     8,     4,   3 ,  H , 54   
3573, 41.3, 122.3, 7G ,   86,   20,    3,    .00,   63,   55,    9,  515,    10,    10,     5,   3 ,  M , 38   
1953, 41.8, 122.8, 7G ,   94,    8,    7,    .00,   76,   79,   16,  675,     7,     9,     4,   5 ,  E , 73   
5255, 41.4, 121.4, 7G ,   82,   14,    6,    .00,   79,   68,   11,  376,     8,     7,     4,   4 ,  V , 52   
2455, 41.3, 123.1, 7G ,   89,   15,    8,    .00,   79,   93,   22,  766,     6,     8,     4,   4 ,  V , 70   
4621, 41.8, 123.3, 7G ,   82,   16,    3,    .00,   82,   81,   16,  715,     6,     7,     4,   4 ,  V , 59   
2929, 41.4, 122.4, 7A ,   90,   14,    6,    .00,    3,   34,   62,  743,     7,     7,     4,   3 ,  M , 38   
 915, 41.3, 123.4, 7G ,   96,   16,    7,    .00,   69,   86,   21,  793,     9,    10,     4,   4 ,  V , 75   
4777, 41.7, 121.5, 7F ,   80,   26,    2,    .00,   33,   45,   11,  523,     7,     7,     5,   3 ,  M , 44   
5476, 41.7, 122.9, 7G ,   78,   16,    6,    .00,   80,   73,   13,  489,     6,     8,     4,   4 ,  V , 48   
4225, 41.5, 122.9, 7G ,   88,    9,    2,    .00,   88,   48,    5,  698,     5,     6,     3,   3 ,  M , 37   
5173, 41.8, 122.1, 7G ,   85,    9,    2,    .00,   81,   54,    7,  356,     6,     8,     3,   3 ,  M , 44   
3090, 41.6, 122.6, 7B ,   89,   12,    8,    .00,   85,  134,   45,  582,     5,     7,     3,   5 ,  E , 77   
5303, 41.6, 121.7, 7G ,   81,   17,    5,    .00,   78,   69,   12,  588,     6,     8,     4,   3 ,  M , 42   
3677, 41.2, 121.9, 7G ,   82,   27,    3,    .00,   53,   39,    5,  719,    12,    12,     6,   3 ,  M , 24   
3910, 41.3, 122.8, 7G ,   90,    7,    6,    .00,   88,   83,   15,  574,     5,     7,     2,   4 ,  V , 68   
2296, 41.6, 123.4, 7G ,   90,   18,    5,    .00,   76,   81,   17,  781,     7,     8,     4,   4 ,  V , 57   
4489, 41.5, 122.2, 7G ,   84,   14,    5,    .00,   81,   58,    8,  310,     6,     7,     3,   3 ,  M , 44   
5053, 41.6, 121.2, 7K ,   81,   18,   14,    .00,   80,   85,   18,  455,     7,     8,     4,   4 ,  V , 69   
4636, 41.3, 120.4, 7T ,   80,   22,    6,    .00,   17,   47,   23,  464,     8,     7,     5,   3 ,  M , 29   
5049, 41.5, 120.6, 7G ,   75,   21,    7,    .00,   72,   60,    9,  393,    10,     8,     6,   3 ,  M , 33   
5543, 41.2, 120.8, 7K ,   75,   20,   11,    .00,   77,   73,   13,  363,     9,     7,     5,   3 ,  H , 55   
5972, 41.2, 120.3, 7K ,   74,   25,    6,    .00,   76,   55,    7,  530,     8,     7,     5,   3 ,  M , 36   
3570, 41.0, 123.6, 7G ,   82,   28,    3,    .00,   70,   57,    8,  696,     7,     9,     5,   3 ,  M , 34   
3941, 40.9, 123.6, 7G ,   81,   26,    4,    .00,   71,   61,   10,  730,     7,     9,     5,   3 ,  M , 37   
 375, 41.0, 123.6, 7G ,   92,   23,    7,    .00,   59,   64,   13,  778,    10,    11,     5,   4 ,  H , 45   
 476, 40.1, 123.8, 7G ,   90,   24,    3,    .00,   54,   50,    9,  735,    12,    13,     5,   3 ,  M , 42   
1059, 40.1, 123.5, 7G ,   90,   19,    2,    .00,   59,   52,    8,  748,    11,    11,     5,   5 ,  V , 42   
2653, 41.1, 123.9, 7G ,   72,   56,    5,    .00,   58,   51,    8,  688,     8,    11,     8,   4 ,  M , 16   
 477, 41.2, 123.8, 7G ,   90,   35,    4,    .00,   50,   58,   13,  792,    12,    13,     7,   3+,  M , 33   
1287, 41.2, 124.0, 7G ,   66,   71,    6,    .00,   31,   34,    6,  574,    15,    17,    11,   4 ,  M , 10   
2737, 40.7, 123.9, 7G ,   76,   53,    3,    .00,   55,   58,   11,  504,    10,    11,     8,   4 ,  H , 25   
4178, 41.3, 123.6, 7G ,   76,   23,   10,    .00,   75,   92,   23,  728,     6,     8,     5,   5 ,  V , 53   
1722, 40.7, 123.2, 7G ,   99,    9,    4,    .00,   81,   71,   12,  769,     6,     8,     3,   4 ,  V , 63   
2325, 40.5, 123.1, 7G ,   92,   11,    4,    .00,   66,   64,   12,  690,    10,    10,     4,   4 ,  V , 60   
2873, 40.4, 123.5, 7G ,   90,   15,    2,    .00,   61,   54,    9,  758,     9,    12,     4,   3 ,  H , 47   
2732, 40.2, 123.3, 7G ,   88,   12,    4,    .00,   60,   59,   11,  778,    10,    11,     4,   4 ,  V , 52   
4481, 40.3, 123.0, 7G ,   86,   16,    4,    .00,   72,   63,   10,  717,     9,     8,     5,   3 ,  M , 42   
4418, 40.5, 123.3, 7G ,   81,   15,    3,    .00,   78,   63,   10,  630,     7,     8,     4,   3 ,  M , 43   
3308, 40.7, 122.8, 7G ,   87,   11,   10,    .00,   78,   90,   21,  568,     8,     8,     3,   4 ,  V , 74   
3365, 41.1, 122.6, 7G ,   86,   20,    4,    .00,   76,   65,   10,  737,     8,     8,     4,   3 ,  H , 45   
4609, 40.8, 123.1, 7G ,    0,    3,    0,    .00,   85,   62,    8,  620,     6,     7,     2,   3 ,  M , 38   
2625, 40.7, 123.4, 7G ,   90,   14,    3,    .00,   75,   63,   10,  741,     7,     8,     4,   4 ,  V , 48   
2602, 40.7, 122.9, 7G ,   92,   10,   10,    .00,   81,   92,   21,  704,     7,     7,     3,   5 ,  E , 79   
5732, 40.5, 121.5, 7G ,   72,   21,    4,    .00,   55,   45,    7,  523,    13,    11,     6,   3 ,  M , 27   
 499, 40.5, 122.2, 7C ,   99,   10,    5,    .00,   23,   37,   10,  757,     8,     8,     3,   3 ,  H , 55   
3259, 40.9, 122.4, 7G ,   86,   21,    5,    .00,   81,   67,   11,  788,     6,     7,     5,   3 ,  M , 38   
2499, 40.6, 121.9, 7U ,   92,    9,    2,    .00,   47,   40,    6,  722,     9,     8,     3,   3 ,  H , 58   
2537, 41.0, 122.3, 7G ,   91,   17,    2,    .00,   78,   59,    8,  776,     7,     7,     4,   3 ,  M , 38   
1360, 40.6, 122.5, 7G ,   92,   19,    2,    .00,   86,   63,    9,  796,     6,     6,     4,   3 ,  M , 40   
3704, 40.9, 121.5, 7T ,   86,   14,    7,    .00,   20,   56,   29,  483,     8,     7,     4,   3 ,  M , 45   
2452, 40.4, 122.8, 7F ,   89,   10,   12,    .00,   56,  138,   73,  694,     5,     6,     3,   5 ,  E , 93   
2646, 41.0, 121.9, 7G ,   86,   22,    3,    .00,   83,   62,    9,  794,     6,     7,     5,   3 ,  M , 36   
2044, 40.5, 122.5, 7B ,   90,   13,   10,    .00,   91,  171,   72,  790,     5,     6,     3,   5 ,  E , 80   
5673, 40.5, 121.0, 7G ,   75,   24,    3,    .00,   61,   39,    4,  699,    10,    10,     6,   3 ,  M , 20   
4800, 40.1, 120.3, 7G ,   93,   16,    2,    .00,   84,   63,    9,  517,     6,     7,     4,   3 ,  M , 44   
5450, 40.7, 120.3, 7T ,   84,   22,    9,    .00,   17,   60,   39,  434,     7,     7,     5,   3 ,  M , 39   
6155, 40.3, 120.9, 7G ,   80,   27,    5,    .00,   78,   57,    8,  436,     7,     7,     5,   3 ,  M , 29   
6158, 40.7, 120.7, 7G ,   77,   30,    2,    .00,   67,   37,    3,  270,     9,     9,     7,   3 ,  M , 16   
5672, 40.8, 121.2, 7G ,   74,   19,   14,    .00,   73,   88,   21,  360,     9,     8,     5,   4 ,  V , 51   
4320, 40.0, 120.0, 7G ,   95,   12,   14,    .00,   88,  103,   25,  608,     7,     6,     3,   3 ,  V , 81   
5927, 41.0, 120.3, 7T ,   78,   29,    9,    .00,   14,   54,   38,  254,     8,     8,     6,   3 ,  M , 30   
5100, 40.6, 120.4, 7T ,   84,   24,   15,    .00,   16,   81,   79,  411,     7,     7,     5,   4 ,  V , 52   
4678, 40.4, 120.1, 7T ,   91,   15,   15,    .00,   20,   93,   86,  543,     7,     7,     4,   5 ,  E , 78   
6215, 40.7, 120.8, 7G ,   76,   30,    2,    .00,   65,   36,    3,  421,     9,     9,     7,   3 ,  M , 15   
5725, 40.7, 121.1, 7G ,   75,   19,    2,    .00,   68,   54,    8,  690,    10,     9,     5,   3 ,  M , 32   
4452, 40.4, 120.6, 7T ,   87,   21,   10,    .00,   17,   65,   46,  393,     6,     6,     5,   4 ,  H , 44   
6004, 40.1, 121.5, 7G ,   72,   25,    5,    .00,   71,   55,    8,  582,     9,     8,     6,   3 ,  M , 29   
3713, 39.9, 122.6, 7B ,   84,   14,   11,    .00,   86,  172,   77,  677,     6,     7,     4,   4 ,  V , 75   
3344, 40.2, 121.7, 7G ,   89,   11,    1,    .00,   81,   61,    9,  703,     7,     7,     3,   4 ,  H , 45   
3772, 40.2, 122.8, 7G ,   81,   12,    5,    .00,   82,   72,   12,  738,     7,     7,     4,   3 ,  H , 49   
 289, 39.9, 122.1, 7A ,   98,   11,    2,    .00,    3,   21,   20,  717,     8,     9,     4,   2 ,  M , 22   
4159, 40.3, 121.7, 7C ,   83,   11,    1,    .00,   22,   28,    6,  687,     7,     7,     4,   3 ,  M , 35   
1029, 39.8, 122.6, 7F ,  100,    8,   18,    .00,   57,  166,  107,  706,     6,     6,     2,   5 ,  E ,100   
4547, 40.2, 121.2, 7G ,   82,   20,    7,    .00,   65,   57,    9,  665,     9,    10,     5,   3 ,  M , 38   
3652, 39.9, 120.9, 7G ,   87,   16,    4,    .00,   66,   52,    7,  751,    10,     9,     5,   3 ,  M , 36   
5811, 40.2, 120.6, 7G ,   77,   28,   13,    .00,   82,   87,   19,  387,     6,     6,     5,   3 ,  M , 43   
4478, 40.0, 120.9, 7G ,   85,   18,   15,    .00,   79,   97,   24,  715,     8,     7,     5,   3 ,  H , 61   
5570, 39.9, 120.4, 7G ,   84,   21,   10,    .00,   66,   72,   15,  427,    10,     9,     5,   3 ,  H , 48   
6714, 40.1, 121.3, 7G ,   69,   28,    7,    .00,   72,   62,   10,  429,     9,     8,     6,   4 ,  H , 30   
6099, 40.4, 121.1, 7G ,   72,   24,    6,    .00,   67,   52,    7,  482,     9,     9,     6,   3 ,  M , 26   
5149, 39.7, 120.5, 7G ,   91,   19,    2,    .00,   80,   49,    5,  520,     7,     7,     4,   3 ,  M , 32   
 644, 38.9, 123.3, 7G ,   92,   15,   13,    .00,   59,   83,   23,  752,    10,    12,     4,   5 ,  E , 72   
1500, 39.8, 123.0, 7G ,   98,   10,    4,    .00,   77,   68,   11,  754,     7,     8,     3,   4 ,  V , 56   
2428, 39.6, 123.3, 7G ,   94,   12,    4,    .00,   72,   66,   12,  694,     8,     9,     4,   4 ,  V , 56   
 627, 39.3, 123.6, 7J ,   83,   37,    1,    .00,  144,   61,    5,  680,    13,    14,     8,   3 ,  M , 13   
5382, 39.8, 122.9, 7G ,   74,   21,   22,    .00,   73,  118,   40,  395,     8,     8,     5,   5 ,  V , 58   
1820, 39.7, 123.4, 7G ,   95,   16,    2,    .00,   68,   47,    6,  737,     8,    10,     4,   3 ,  M , 36   
4543, 39.6, 122.7, 7G ,   78,   20,   12,    .00,   77,   89,   21,  485,     7,     7,     5,   5 ,  V , 51   
 120, 39.4, 122.1, 7A ,   96,   29,    6,    .00,    2,   26,   49,  745,     9,    11,     6,   3 ,  M , 25   
 803, 39.3, 121.3, 7F ,  101,   10,    4,    .00,   56,   90,   29,  738,     6,     7,     3,   3 ,  V ,100   
1733, 39.8, 121.7, 7F ,   91,   27,    2,    .00,   39,   63,   19,  734,     6,     6,     4,   3 ,  H , 67   
4816, 40.0, 121.5, 7G ,   77,   20,    4,    .00,   79,   52,    6,  709,     8,     7,     4,   3 ,  M , 36   
2535, 39.7, 121.4, 7G ,   89,   26,    4,    .00,   84,   68,   10,  771,     6,     6,     4,   3 ,  M , 45   
 268, 39.5, 121.6, 7A ,  100,   19,    2,    .00,    3,   20,   19,  763,     7,     8,     4,   2 ,  M , 23   
5976, 39.5, 120.0, 7G ,   89,   18,    3,    .00,   72,   45,    5,  563,     9,     8,     5,   3 ,  M , 31   
6670, 39.6, 120.8, 7G ,   76,   36,   11,    .00,   76,   76,   15,  695,     7,     7,     7,   3 ,  M , 31   
6207, 39.4, 120.0, 7G ,   84,   21,    8,    .00,   67,   60,   10,  422,     9,     9,     5,   3 ,  M , 39   
6943, 39.5, 120.3, 7G ,   80,   21,   15,    .00,   82,  100,   25,  474,     7,     7,     5,   4 ,  V , 60   
4807, 39.2, 122.8, 7B ,   81,   17,   12,    .00,   74,  145,   62,  600,     7,     7,     4,   4 ,  V , 80   
1725, 39.4, 122.9, 7G ,   99,   13,    3,    .00,   63,   59,   10,  728,    11,    10,     4,   3 ,  H , 55   
2200, 38.8, 122.4, 7B ,   94,   12,   11,    .00,  103,  183,   73,  619,     6,     8,     3,   5 ,  E ,100   
2085, 39.0, 122.4, 7G ,   99,   12,   11,    .00,   87,   90,   18,   85,     6,     7,     3,   4 ,  V , 72   
2163, 38.9, 122.7, 7B ,   95,   12,    9,    .00,  105,  169,   61,  708,     6,     6,     3,   5 ,  E ,100   
1263, 39.3, 122.5, 7B ,  100,   11,   11,    .00,   88,  166,   69,  729,     6,     7,     3,   5 ,  E , 94   
3701, 39.4, 121.2, 7G ,   85,   25,    6,    .00,   78,   61,    9,  752,     7,     7,     5,   3 ,  M , 34   
4302, 39.3, 120.8, 7G ,   86,   27,    1,    .00,   82,   45,    4,  759,     6,     7,     5,   3 ,  M , 23   
2757, 39.1, 120.8, 7G ,   92,   17,    1,    .00,   81,   49,    5,  781,     6,     8,     3,   3 ,  M , 39   
1968, 39.3, 121.1, 7B ,   98,   11,    3,    .00,  105,  115,   26,  754,     6,     7,     3,   4 ,  V , 67   
7399, 39.3, 120.2, 7C ,   76,   27,   15,    .00,   19,   58,   32,  764,     7,     8,     5,     ,    , 69   
7182, 39.1, 120.5, 7G ,   78,   23,    8,    .00,   79,   71,   12,  669,     7,     7,     5,   3 ,  M , 40   
 210, 38.8, 121.2, 7A ,  105,   12,    4,    .00,    4,   30,   40,  705,     8,     8,     3,   3 ,  M , 37   
4355, 39.0, 120.7, 7G ,   90,   22,    3,    .00,   82,   47,    5,  744,     6,     7,     4,   3 ,  M , 28   
